County/State,Population
"Luna County, New Mexico",24264
"McKinley County, New Mexico",72849
"Mora County, New Mexico",4563
"Otero County, New Mexico",65745
"Quay County, New Mexico",8373
"Rio Arriba County, New Mexico",39307
"Roosevelt County, New Mexico",19117
"Sandoval County, New Mexico",140769
"San Juan County, New Mexico",127455
"San Miguel County, New Mexico",28034
"Santa Fe County, New Mexico",148917
"Sierra County, New Mexico",11135
"Socorro County, New Mexico",17000
"Taos County, New Mexico",32888
"Torrance County, New Mexico",15595
"Union County, New Mexico",4175
"Valencia County, New Mexico",75956
"Albany County, New York",307426
"Allegany County, New York",47025
"Bronx County, New York",1437872
"Broome County, New York",194402
"Cattaraugus County, New York",77686
"Cayuga County, New York",77868
"Chautauqua County, New York",129656
"Chemung County, New York",85740
"Chenango County, New York",48348
"Clinton County, New York",80794
"Columbia County, New York",60919
"Cortland County, New York",48123
"Delaware County, New York",45502
"Dutchess County, New York",293894
"Erie County, New York",919866
"Essex County, New York",37751
"Franklin County, New York",50692
"Fulton County, New York",53743
"Genesee County, New York",58112
"Greene County, New York",47617
"Hamilton County, New York",4575
"Herkimer County, New York",62505
"Jefferson County, New York",114448
"Kings County, New York",2600747
"Lewis County, New York",26719
"Livingston County, New York",63907
"Madison County, New York",71359
"Monroe County, New York",744248
"Montgomery County, New York",49426
"Nassau County, New York",1356564
"New York County, New York",1632480
"Niagara County, New York",211704
"Oneida County, New York",230782
"Onondaga County, New York",464242
"Ontario County, New York",109472
"Orange County, New York",378227
"Orleans County, New York",41175
"Oswego County, New York",119104
"Otsego County, New York",60244
"Putnam County, New York",99070
"Queens County, New York",2298513
"Rensselaer County, New York",159431
"Richmond County, New York",474101
"Rockland County, New York",323686
"St. Lawrence County, New York",109558
"Saratoga County, New York",227377
"Schenectady County, New York",154883
"Schoharie County, New York",31364
"Schuyler County, New York",17992
"Seneca County, New York",34612
"Steuben County, New York",96927
"Suffolk County, New York",1487901
"Sullivan County, New York",75211
"Tioga County, New York",49045
"Tompkins County, New York",102962
"Ulster County, New York",179303
"Warren County, New York",64480
"Washington County, New York",61828
"Wayne County, New York",90856
"Westchester County, New York",968815
"Wyoming County, New York",40565
"Yates County, New York",25009
"Alamance County, North Carolina",160576
"Alexander County, North Carolina",37119
"Alleghany County, North Carolina",10973
"Anson County, North Carolina",25306
"Ashe County, North Carolina",26786
"Avery County, North Carolina",17501
"Beaufort County, North Carolina",47243
"Bertie County, North Carolina",19644
"Bladen County, North Carolina",33778
"Brunswick County, North Carolina",126860
"Buncombe County, North Carolina",254474
"Burke County, North Carolina",89712
"Cabarrus County, North Carolina",201448
"Caldwell County, North Carolina",81779
"Camden County, North Carolina",10447
"Carteret County, North Carolina",68920
"Caswell County, North Carolina",22746
"Catawba County, North Carolina",156729
"Chatham County, North Carolina",69791
"Cherokee County, North Carolina",27668
"Chowan County, North Carolina",14205
"Clay County, North Carolina",10813
"Cleveland County, North Carolina",97159
"Columbus County, North Carolina",56293
"Craven County, North Carolina",103082
"Cumberland County, North Carolina",332106
"Currituck County, North Carolina",25796
"Dare County, North Carolina",35741
"Davidson County, North Carolina",164664
"Davie County, North Carolina",41991
"Duplin County, North Carolina",59062
"Durham County, North Carolina",306457
"Edgecombe County, North Carolina",53332
"Forsyth County, North Carolina",371573
"Franklin County, North Carolina",64902
"Gaston County, North Carolina",216585
"Gates County, North Carolina",11563
"Graham County, North Carolina",8557
"Granville County, North Carolina",58874
"Greene County, North Carolina",21008
"Guilford County, North Carolina",523582
"Halifax County, North Carolina",51737
"Harnett County, North Carolina",130361
"Haywood County, North Carolina",60433
"Henderson County, North Carolina",113625
"Hertford County, North Carolina",24153
"Hoke County, North Carolina",53239
"Hyde County, North Carolina",5393
"Iredell County, North Carolina",172525
"Jackson County, North Carolina",42256
"Johnston County, North Carolina",191172
"Jones County, North Carolina",9695
"Lee County, North Carolina",60125
"Lenoir County, North Carolina",57227
"Lincoln County, North Carolina",81441
"McDowell County, North Carolina",45109
"Macon County, North Carolina",34410
"Madison County, North Carolina",21405
"Martin County, North Carolina",23054
"Mecklenburg County, North Carolina",1054314
"Mitchell County, North Carolina",15040
"Montgomery County, North Carolina",27338
"Moore County, North Carolina",95629
"Nash County, North Carolina",94003
"New Hanover County, North Carolina",224231
"Northampton County, North Carolina",20186
"Onslow County, North Carolina",193912
"Orange County, North Carolina",142938
"Pamlico County, North Carolina",12742
"Pasquotank County, North Carolina",39479
"Pender County, North Carolina",59020
"Perquimans County, North Carolina",13459
"Person County, North Carolina",39305
"Pitt County, North Carolina",177372
"Polk County, North Carolina",20458
"Randolph County, North Carolina",142958
"Richmond County, North Carolina",45189
"Robeson County, North Carolina",133442
"Rockingham County, North Carolina",91270
"Rowan County, North Carolina",139605
"Rutherford County, North Carolina",66532
"Sampson County, North Carolina",63561
"Scotland County, North Carolina",35262
"Stanly County, North Carolina",61114
"Stokes County, North Carolina",45905
"Surry County, North Carolina",72099
"Swain County, North Carolina",14254
"Transylvania County, North Carolina",33513
"Tyrrell County, North Carolina",4119
"Union County, North Carolina",226694
"Vance County, North Carolina",44482
"Wake County, North Carolina",1046558
"Warren County, North Carolina",20033
"Washington County, North Carolina",12156
"Watauga County, North Carolina",54117
"Wayne County, North Carolina",124002
"Wilkes County, North Carolina",68460
"Wilson County, North Carolina",81336
"Yadkin County, North Carolina",37665
"Yancey County, North Carolina",17667
"Adams County, North Dakota",2351
"Barnes County, North Dakota",10836
"Benson County, North Dakota",6886
"Billings County, North Dakota",946
"Bottineau County, North Dakota",6589
"Bowman County, North Dakota",3195
"Burke County, North Dakota",2213
"Burleigh County, North Dakota",93737
"Cass County, North Dakota",174202
"Cavalier County, North Dakota",3824
"Dickey County, North Dakota",4970
"Divide County, North Dakota",2369
"Dunn County, North Dakota",4387
"Eddy County, North Dakota",2313
"Emmons County, North Dakota",3352
"Foster County, North Dakota",3290
"Golden Valley County, North Dakota",1882
"Grand Forks County, North Dakota",70400
"Grant County, North Dakota",2380
"Griggs County, North Dakota",2266
"Hettinger County, North Dakota",2576
"Kidder County, North Dakota",2460
"LaMoure County, North Dakota",4100
"Logan County, North Dakota",1927
"McHenry County, North Dakota",5927
"McIntosh County, North Dakota",2654
"McKenzie County, North Dakota",12536
"McLean County, North Dakota",9608
"Mercer County, North Dakota",8570
"Morton County, North Dakota",30544
"Mountrail County, North Dakota",10152
"Nelson County, North Dakota",2920
"Oliver County, North Dakota",1837
"Pembina County, North Dakota",7016
"Pierce County, North Dakota",4210
"Ramsey County, North Dakota",11557
"Ransom County, North Dakota",5361
"Renville County, North Dakota",2495
"Richland County, North Dakota",16288
"Rolette County, North Dakota",14603
"Sargent County, North Dakota",3883
"Sheridan County, North Dakota",1405
"Sioux County, North Dakota",4413
"Slope County, North Dakota",704
"Stark County, North Dakota",30876
"Steele County, North Dakota",1910
"Stutsman County, North Dakota",21064
"Towner County, North Dakota",2246
"Traill County, North Dakota",8019
"Walsh County, North Dakota",10802
"Ward County, North Dakota",69034
"Wells County, North Dakota",4055
"Williams County, North Dakota",34061
"Adams County, Ohio",27878
"Allen County, Ohio",103642
"Ashland County, Ohio",53477
"Ashtabula County, Ohio",98136
"Athens County, Ohio",65936
"Auglaize County, Ohio",45784
"Belmont County, Ohio",68472
"Brown County, Ohio",43679
"Butler County, Ohio",378294
"Carroll County, Ohio",27578
"Champaign County, Ohio",38864
"Clark County, Ohio",135198
"Clermont County, Ohio",203216
"Clinton County, Ohio",41896
"Columbiana County, Ohio",104003
"Coshocton County, Ohio",36574
"Crawford County, Ohio",42021
"Cuyahoga County, Ohio",1253783
"Darke County, Ohio",51734
"Defiance County, Ohio",38279
"Delaware County, Ohio",197008
"Erie County, Ohio",75136
"Fairfield County, Ohio",152910
"Fayette County, Ohio",28645
"Franklin County, Ohio",1275333
"Fulton County, Ohio",42305
"Gallia County, Ohio",30195
"Geauga County, Ohio",93961
"Greene County, Ohio",165811
"Guernsey County, Ohio",39274
"Hamilton County, Ohio",812037
"Hancock County, Ohio",75690
"Hardin County, Ohio",31542
"Harrison County, Ohio",15307
"Henry County, Ohio",27316
"Highland County, Ohio",43007
"Hocking County, Ohio",28495
"Holmes County, Ohio",43859
"Huron County, Ohio",58457
"Jackson County, Ohio",32524
"Jefferson County, Ohio",66886
"Knox County, Ohio",61215
"Lake County, Ohio",230052
"Lawrence County, Ohio",60622
"Licking County, Ohio",172293
"Logan County, Ohio",45307
"Lorain County, Ohio",306713
"Lucas County, Ohio",432379
"Madison County, Ohio",43988
"Mahoning County, Ohio",231064
"Marion County, Ohio",65344
"Medina County, Ohio",177257
"Meigs County, Ohio",23160
"Mercer County, Ohio",40806
"Miami County, Ohio",104800
"Monroe County, Ohio",14090
"Montgomery County, Ohio",532034
"Morgan County, Ohio",14702
"Morrow County, Ohio",34976
"Muskingum County, Ohio",86076
"Noble County, Ohio",14443
"Ottawa County, Ohio",40709
"Paulding County, Ohio",18872
"Perry County, Ohio",35985
"Pickaway County, Ohio",57420
"Pike County, Ohio",28214
"Portage County, Ohio",162644
"Preble County, Ohio",41207
"Putnam County, Ohio",33969
"Richland County, Ohio",121324
"Ross County, Ohio",77051
"Sandusky County, Ohio",59299
"Scioto County, Ohio",76377
"Seneca County, Ohio",55475
"Shelby County, Ohio",48797
"Stark County, Ohio",373475
"Summit County, Ohio",541810
"Trumbull County, Ohio",201794
"Tuscarawas County, Ohio",92526
"Union County, Ohio",55654
"Van Wert County, Ohio",28281
"Vinton County, Ohio",13111
"Warren County, Ohio",226564
"Washington County, Ohio",60671
"Wayne County, Ohio",116208
"Williams County, Ohio",36936
"Wood County, Ohio",129936
"Wyandot County, Ohio",22107
"Adair County, Oklahoma",22113
"Alfalfa County, Oklahoma",5857
"Atoka County, Oklahoma",13874
"Beaver County, Oklahoma",5415
"Beckham County, Oklahoma",22621
"Blaine County, Oklahoma",9634
"Bryan County, Oklahoma",45759
"Caddo County, Oklahoma",29342
"Canadian County, Oklahoma",136710
"Carter County, Oklahoma",48406
"Cherokee County, Oklahoma",48599
"Choctaw County, Oklahoma",14886
"Cimarron County, Oklahoma",2189
"Cleveland County, Oklahoma",276733
"Coal County, Oklahoma",5618
"Comanche County, Oklahoma",122561
"Cotton County, Oklahoma",5929
"Craig County, Oklahoma",14493
"Creek County, Oklahoma",71160
"Custer County, Oklahoma",29209
"Delaware County, Oklahoma",42112
"Dewey County, Oklahoma",4918
"Ellis County, Oklahoma",4072
"Garfield County, Oklahoma",62190
"Garvin County, Oklahoma",27823
"Grady County, Oklahoma",54733
"Grant County, Oklahoma",4418
"Greer County, Oklahoma",5943
"Harmon County, Oklahoma",2721
"Harper County, Oklahoma",3847
"Haskell County, Oklahoma",12704
"Hughes County, Oklahoma",13460
"Jackson County, Oklahoma",25384
"Jefferson County, Oklahoma",6223
"Johnston County, Oklahoma",11041
"Kay County, Oklahoma",44880
"Kingfisher County, Oklahoma",15618
"Kiowa County, Oklahoma",9001
"Latimer County, Oklahoma",10495
"Le Flore County, Oklahoma",49909
"Lincoln County, Oklahoma",34854
"Logan County, Oklahoma",46044
"Love County, Oklahoma",9933
"McClain County, Oklahoma",38634
"McCurtain County, Oklahoma",32966
"McIntosh County, Oklahoma",19819
"Major County, Oklahoma",7718
"Marshall County, Oklahoma",16376
"Mayes County, Oklahoma",40980
"Murray County, Oklahoma",13875
"Muskogee County, Oklahoma",69084
"Noble County, Oklahoma",11411
"Nowata County, Oklahoma",10383
"Okfuskee County, Oklahoma",12115
"Oklahoma County, Oklahoma",782051
"Okmulgee County, Oklahoma",38889
"Osage County, Oklahoma",47311
"Ottawa County, Oklahoma",31566
"Pawnee County, Oklahoma",16428
"Payne County, Oklahoma",81512
"Pittsburg County, Oklahoma",44382
"Pontotoc County, Oklahoma",38358
"Pottawatomie County, Oklahoma",72000
"Pushmataha County, Oklahoma",11119
"Roger Mills County, Oklahoma",3708
"Rogers County, Oklahoma",90814
"Seminole County, Oklahoma",25071
"Sequoyah County, Oklahoma",41359
"Stephens County, Oklahoma",43983
"Texas County, Oklahoma",21121
"Tillman County, Oklahoma",7515
"Tulsa County, Oklahoma",642781
"Wagoner County, Oklahoma",77850
"Washington County, Oklahoma",52001
"Washita County, Oklahoma",11432
"Woods County, Oklahoma",9127
"Woodward County, Oklahoma",20967
"Baker County, Oregon",15984
"Benton County, Oregon",89780
"Clackamas County, Oregon",405788
"Clatsop County, Oregon",38562
"Columbia County, Oregon",50851
"Coos County, Oregon",63308
"Crook County, Oregon",22337
"Curry County, Oregon",22507
"Deschutes County, Oregon",180640
"Douglas County, Oregon",108323
"Gilliam County, Oregon",1907
"Grant County, Oregon",7183
"Harney County, Oregon",7228
"Hood River County, Oregon",23131
"Jackson County, Oregon",214267
"Jefferson County, Oregon",23143
"Josephine County, Oregon",85481
"Klamath County, Oregon",66310
"Lake County, Oregon",7843
"Lane County, Oregon",368882
"Lincoln County, Oregon",47881
"Linn County, Oregon",122870
"Malheur County, Oregon",30431
"Marion County, Oregon",335553
"Morrow County, Oregon",11215
"Multnomah County, Oregon",798647
"Polk County, Oregon",81427
"Sherman County, Oregon",1605
"Tillamook County, Oregon",26076
"Umatilla County, Oregon",76898
"Union County, Oregon",26028
"Wallowa County, Oregon",6924
"Wasco County, Oregon",25866
"Washington County, Oregon",581821
"Wheeler County, Oregon",1426
"Yamhill County, Oregon",103820
"Adams County, Pennsylvania",102023
"Allegheny County, Pennsylvania",1225561
"Armstrong County, Pennsylvania",66331
"Beaver County, Pennsylvania",166896
"Bedford County, Pennsylvania",48611
"Berks County, Pennsylvania",416642
"Blair County, Pennsylvania",123842
"Bradford County, Pennsylvania",61304
"Bucks County, Pennsylvania",626370
"Butler County, Pennsylvania",186566
"Cambria County, Pennsylvania",134550
"Cameron County, Pennsylvania",4686
"Carbon County, Pennsylvania",63931
"Centre County, Pennsylvania",161443
"Chester County, Pennsylvania",517156
"Clarion County, Pennsylvania",38827
"Clearfield County, Pennsylvania",80216
"Clinton County, Pennsylvania",39074
"Columbia County, Pennsylvania",66220
"Crawford County, Pennsylvania",86164
"Cumberland County, Pennsylvania",247433
"Dauphin County, Pennsylvania",274515
"Delaware County, Pennsylvania",563527
"Elk County, Pennsylvania",30608
"Erie County, Pennsylvania",275972
"Fayette County, Pennsylvania",132289
"Forest County, Pennsylvania",7351
"Franklin County, Pennsylvania",153751
"Fulton County, Pennsylvania",14506
"Greene County, Pennsylvania",37144
"Huntingdon County, Pennsylvania",45421
"Indiana County, Pennsylvania",85755
"Jefferson County, Pennsylvania",44084
"Juniata County, Pennsylvania",24562
"Lackawanna County, Pennsylvania",211454
"Lancaster County, Pennsylvania",538347
"Lawrence County, Pennsylvania",87382
"Lebanon County, Pennsylvania",138674
"Lehigh County, Pennsylvania",362613
"Luzerne County, Pennsylvania",317884
"Lycoming County, Pennsylvania",114859
"McKean County, Pennsylvania",41806
"Mercer County, Pennsylvania",112630
"Mifflin County, Pennsylvania",46362
"Monroe County, Pennsylvania",167586
"Montgomery County, Pennsylvania",821301
"Montour County, Pennsylvania",18294
"Northampton County, Pennsylvania",301778
"Northumberland County, Pennsylvania",92325
"Perry County, Pennsylvania",45924
"Philadelphia County, Pennsylvania",1575522
"Pike County, Pennsylvania",55498
"Potter County, Pennsylvania",16937
"Schuylkill County, Pennsylvania",143555
"Snyder County, Pennsylvania",40466
"Somerset County, Pennsylvania",74949
"Sullivan County, Pennsylvania",6177
"Susquehanna County, Pennsylvania",41340
"Tioga County, Pennsylvania",41226
"Union County, Pennsylvania",45114
"Venango County, Pennsylvania",52376
"Warren County, Pennsylvania",40035
"Washington County, Pennsylvania",207547
"Wayne County, Pennsylvania",51536
"Westmoreland County, Pennsylvania",354751
"Wyoming County, Pennsylvania",27588
"York County, Pennsylvania",444014
"Bristol County, Rhode Island",48900
"Kent County, Rhode Island",163861
"Newport County, Rhode Island",83075
"Providence County, Rhode Island",634533
"Washington County, Rhode Island",126242
"Abbeville County, South Carolina",24657
"Aiken County, South Carolina",166926
"Allendale County, South Carolina",9214
"Anderson County, South Carolina",195995
"Bamberg County, South Carolina",14600
"Barnwell County, South Carolina",21577
"Beaufort County, South Carolina",182658
"Berkeley County, South Carolina",209065
"Calhoun County, South Carolina",14713
"Charleston County, South Carolina",394708
"Cherokee County, South Carolina",56711
"Chester County, South Carolina",32326
"Chesterfield County, South Carolina",46024
"Clarendon County, South Carolina",34017
"Colleton County, South Carolina",37568
"Darlington County, South Carolina",67253
"Dillon County, South Carolina",30871
"Dorchester County, South Carolina",155474
"Edgefield County, South Carolina",26769
"Fairfield County, South Carolina",22712
"Florence County, South Carolina",138561
"Georgetown County, South Carolina",61605
"Greenville County, South Carolina",498402
"Greenwood County, South Carolina",70264
"Hampton County, South Carolina",19807
"Horry County, South Carolina",320915
"Jasper County, South Carolina",27900
"Kershaw County, South Carolina",64361
"Lancaster County, South Carolina",89546
"Laurens County, South Carolina",66710
"Lee County, South Carolina",17606
"Lexington County, South Carolina",286316
"McCormick County, South Carolina",9606
"Marion County, South Carolina",31562
"Marlboro County, South Carolina",27131
"Newberry County, South Carolina",38068
"Oconee County, South Carolina",76696
"Orangeburg County, South Carolina",88454
"Pickens County, South Carolina",122746
"Richland County, South Carolina",408263
"Saluda County, South Carolina",20299
"Spartanburg County, South Carolina",302195
"Sumter County, South Carolina",106995
"Union County, South Carolina",27644
"Williamsburg County, South Carolina",31794
"York County, South Carolina",258641
"Aurora County, South Dakota",2759
"Beadle County, South Dakota",18374
"Bennett County, South Dakota",3437
"Bon Homme County, South Dakota",6969
"Brookings County, South Dakota",34239
"Brown County, South Dakota",38840
"Brule County, South Dakota",5256
"Buffalo County, South Dakota",2053
"Butte County, South Dakota",10177
"Campbell County, South Dakota",1435
"Charles Mix County, South Dakota",9344
"Clark County, South Dakota",3673
"Clay County, South Dakota",13925
"Codington County, South Dakota",27993
"Corson County, South Dakota",4168
"Custer County, South Dakota",8573
"Davison County, South Dakota",19901
"Day County, South Dakota",5506
"Deuel County, South Dakota",4306
"Dewey County, South Dakota",5779
"Douglas County, South Dakota",2930
"Edmunds County, South Dakota",3940
"Fall River County, South Dakota",6774
"Faulk County, South Dakota",2322
"Grant County, South Dakota",7217
"Gregory County, South Dakota",4201
"Haakon County, South Dakota",2082
"Hamlin County, South Dakota",6000
"Hand County, South Dakota",3301
"Hanson County, South Dakota",3397
"Harding County, South Dakota",1311
"Hughes County, South Dakota",17617
"Hutchinson County, South Dakota",7315
"Hyde County, South Dakota",1331
"Jackson County, South Dakota",3287
"Jerauld County, South Dakota",2029
"Jones County, South Dakota",735
"Kingsbury County, South Dakota",4967
"Lake County, South Dakota",12574
"Lawrence County, South Dakota",25234
"Lincoln County, South Dakota",54914
"Lyman County, South Dakota",3869
"McCook County, South Dakota",5511
"McPherson County, South Dakota",2364
"Marshall County, South Dakota",4895
"Meade County, South Dakota",27424
"Mellette County, South Dakota",2055
"Miner County, South Dakota",2229
"Minnehaha County, South Dakota",186749
"Moody County, South Dakota",6506
"Oglala Lakota County, South Dakota",14335
"Pennington County, South Dakota",109294
"Perkins County, South Dakota",2907
"Potter County, South Dakota",2326
"Roberts County, South Dakota",10285
"Sanborn County, South Dakota",2388
"Spink County, South Dakota",6543
"Stanley County, South Dakota",2997
"Sully County, South Dakota",1331
"Todd County, South Dakota",10146
"Tripp County, South Dakota",5468
"Turner County, South Dakota",8264
"Union County, South Dakota",15177
"Walworth County, South Dakota",5510
"Yankton County, South Dakota",22717
"Ziebach County, South Dakota",2814
"Anderson County, Tennessee",75775
"Bedford County, Tennessee",47558
"Benton County, Tennessee",16112
"Bledsoe County, Tennessee",14602
"Blount County, Tennessee",128443
"Bradley County, Tennessee",104557
"Campbell County, Tennessee",39687
"Cannon County, Tennessee",13976
"Carroll County, Tennessee",28018
"Carter County, Tennessee",56391
"Cheatham County, Tennessee",39929
"Chester County, Tennessee",17150
"Claiborne County, Tennessee",31613
"Clay County, Tennessee",7686
"Cocke County, Tennessee",35336
"Coffee County, Tennessee",54531
"Crockett County, Tennessee",14499
"Cumberland County, Tennessee",58634
"Davidson County, Tennessee",684017
"Decatur County, Tennessee",11683
"DeKalb County, Tennessee",19601
"Dickson County, Tennessee",51988
"Dyer County, Tennessee",37576
"Fayette County, Tennessee",39692
"Fentress County, Tennessee",17994
"Franklin County, Tennessee",41512
"Gibson County, Tennessee",49175
"Giles County, Tennessee",29167
"Grainger County, Tennessee",23013
"Greene County, Tennessee",68669
"Grundy County, Tennessee",13331
"Hamblen County, Tennessee",63740
"Hamilton County, Tennessee",357546
"Hancock County, Tennessee",6585
"Hardeman County, Tennessee",25562
"Hardin County, Tennessee",25771
"Hawkins County, Tennessee",56402
"Haywood County, Tennessee",17779
"Henderson County, Tennessee",27859
"Henry County, Tennessee",32279
"Hickman County, Tennessee",24678
"Houston County, Tennessee",8176
"Humphreys County, Tennessee",18318
"Jackson County, Tennessee",11615
"Jefferson County, Tennessee",53247
"Johnson County, Tennessee",17789
"Knox County, Tennessee",456185
"Lake County, Tennessee",7526
"Lauderdale County, Tennessee",26297
"Lawrence County, Tennessee",42937
"Lewis County, Tennessee",11956
"Lincoln County, Tennessee",33711
"Loudon County, Tennessee",51610
"McMinn County, Tennessee",52773
"McNairy County, Tennessee",25903
"Macon County, Tennessee",23487
"Madison County, Tennessee",97682
"Marion County, Tennessee",28417
"Marshall County, Tennessee",32269
"Maury County, Tennessee",89776
"Meigs County, Tennessee",11962
"Monroe County, Tennessee",45876
"Montgomery County, Tennessee",196387
"Moore County, Tennessee",6322
"Morgan County, Tennessee",21596
"Obion County, Tennessee",30520
"Overton County, Tennessee",22004
"Perry County, Tennessee",7912
"Pickett County, Tennessee",5088
"Polk County, Tennessee",16782
"Putnam County, Tennessee",76440
"Rhea County, Tennessee",32628
"Roane County, Tennessee",52897
"Robertson County, Tennessee",69344
"Rutherford County, Tennessee",307128
"Scott County, Tennessee",21954
"Sequatchie County, Tennessee",14730
"Sevier County, Tennessee",96287
"Shelby County, Tennessee",937005
"Smith County, Tennessee",19458
"Stewart County, Tennessee",13301
"Sullivan County, Tennessee",156734
"Sumner County, Tennessee",179473
"Tipton County, Tennessee",61446
"Trousdale County, Tennessee",9573
"Unicoi County, Tennessee",17780
"Union County, Tennessee",19293
"Van Buren County, Tennessee",5704
"Warren County, Tennessee",40454
"Washington County, Tennessee",127055
"Wayne County, Tennessee",16649
"Weakley County, Tennessee",33626
"White County, Tennessee",26580
"Williamson County, Tennessee",218648
"Wilson County, Tennessee",132663
"Anderson County, Texas",57863
"Andrews County, Texas",17818
"Angelina County, Texas",87607
"Aransas County, Texas",24763
"Archer County, Texas",8789
"Armstrong County, Texas",1916
"Atascosa County, Texas",48828
"Austin County, Texas",29565
"Bailey County, Texas",7092
"Bandera County, Texas",21763
"Bastrop County, Texas",82577
"Baylor County, Texas",3591
"Bee County, Texas",32691
"Bell County, Texas",342236
"Bexar County, Texas",1925865
"Blanco County, Texas",11279
"Borden County, Texas",665
"Bosque County, Texas",18122
"Bowie County, Texas",93858
"Brazoria County, Texas",353999
"Brazos County, Texas",219193
"Brewster County, Texas",9216
"Briscoe County, Texas",1546
"Brooks County, Texas",7180
"Brown County, Texas",37834
"Burleson County, Texas",17863
"Burnet County, Texas",45750
"Caldwell County, Texas",41401
"Calhoun County, Texas",21807
"Callahan County, Texas",13770
"Cameron County, Texas",421750
"Camp County, Texas",12813
"Carson County, Texas",6032
"Cass County, Texas",30087
"Castro County, Texas",7787
"Chambers County, Texas",40292
"Cherokee County, Texas",51903
"Childress County, Texas",7226
"Clay County, Texas",10387
"Cochran County, Texas",2904
"Coke County, Texas",3275
"Coleman County, Texas",8391
"Collin County, Texas",944350
"Collingsworth County, Texas",2996
"Colorado County, Texas",21022
"Comal County, Texas",135097
"Comanche County, Texas",13495
"Concho County, Texas",4233
"Cooke County, Texas",39571
"Coryell County, Texas",75389
"Cottle County, Texas",1623
"Crane County, Texas",4839
"Crockett County, Texas",3633
"Crosby County, Texas",5861
"Culberson County, Texas",2241
"Dallam County, Texas",7243
"Dallas County, Texas",2586552
"Dawson County, Texas",12964
"Deaf Smith County, Texas",18899
"Delta County, Texas",5215
"Denton County, Texas",807047
"DeWitt County, Texas",20435
"Dickens County, Texas",2216
"Dimmit County, Texas",10663
"Donley County, Texas",3387
"Duval County, Texas",11355
"Eastland County, Texas",18270
"Ector County, Texas",158342
"Edwards County, Texas",2055
"Ellis County, Texas",168838
"El Paso County, Texas",837654
"Erath County, Texas",41482
"Falls County, Texas",17299
"Fannin County, Texas",34175
"Fayette County, Texas",25066
"Fisher County, Texas",3883
"Floyd County, Texas",5872
"Foard County, Texas",1408
"Fort Bend County, Texas",739342
"Franklin County, Texas",10679
"Freestone County, Texas",19709
"Frio County, Texas",19394
"Gaines County, Texas",20321
"Galveston County, Texas",327089
"Garza County, Texas",6288
"Gillespie County, Texas",26208
"Glasscock County, Texas",1430
"Goliad County, Texas",7531
"Gonzales County, Texas",20667
"Gray County, Texas",22685
"Grayson County, Texas",128560
"Gregg County, Texas",123494
"Grimes County, Texas",27630
"Guadalupe County, Texas",155137
"Hale County, Texas",34113
"Hall County, Texas",3074
"Hamilton County, Texas",8269
"Hansford County, Texas",5547
"Hardeman County, Texas",3952
"Hardin County, Texas",56379
"Harris County, Texas",4602523
"Harrison County, Texas",66645
"Hartley County, Texas",5767
"Haskell County, Texas",5809
"Hays County, Texas",204150
"Hemphill County, Texas",4061
"Henderson County, Texas",80460
"Hidalgo County, Texas",849389
"Hill County, Texas",35399
"Hockley County, Texas",23162
"Hood County, Texas",56901
"Hopkins County, Texas",36240
"Houston County, Texas",22955
"Howard County, Texas",36667
"Hudspeth County, Texas",4098
"Hunt County, Texas",92152
"Hutchinson County, Texas",21571
"Irion County, Texas",1524
"Jack County, Texas",8842
"Jackson County, Texas",14820
"Jasper County, Texas",35504
"Jeff Davis County, Texas",2234
"Jefferson County, Texas",255210
"Jim Hogg County, Texas",5282
"Jim Wells County, Texas",41192
"Johnson County, Texas",163475
"Jones County, Texas",19891
"Karnes County, Texas",15387
"Kaufman County, Texas",118910
"Kendall County, Texas",41982
"Kenedy County, Texas",595
"Kent County, Texas",749
"Kerr County, Texas",51365
"Kimble County, Texas",4408
"King County, Texas",228
"Kinney County, Texas",3675
"Kleberg County, Texas",31425
"Knox County, Texas",3733
"Lamar County, Texas",49532
"Lamb County, Texas",13262
"Lampasas County, Texas",20640
"La Salle County, Texas",7409
"Lavaca County, Texas",19941
"Lee County, Texas",16952
"Leon County, Texas",17098
"Liberty County, Texas",81862
"Limestone County, Texas",23515
"Lipscomb County, Texas",3469
"Live Oak County, Texas",12123
"Llano County, Texas",20640
"Loving County, Texas",102
"Lubbock County, Texas",301454
"Lynn County, Texas",5808
"McCulloch County, Texas",8098
"McLennan County, Texas",248429
"McMullen County, Texas",662
"Madison County, Texas",14128
"Marion County, Texas",10083
"Martin County, Texas",5614
"Mason County, Texas",4161
"Matagorda County, Texas",36743
"Maverick County, Texas",57970
"Medina County, Texas",49334
"Menard County, Texas",2123
"Midland County, Texas",164194
"Milam County, Texas",24664
"Mills County, Texas",4902
"Mitchell County, Texas",8558
"Montague County, Texas",19409
"Montgomery County, Texas",554445
"Moore County, Texas",21801
"Morris County, Texas",12424
"Motley County, Texas",1156
"Nacogdoches County, Texas",65558
"Navarro County, Texas",48583
"Newton County, Texas",14057
"Nolan County, Texas",14966
"Nueces County, Texas",360486
"Ochiltree County, Texas",10348
"Oldham County, Texas",2090
"Orange County, Texas",84047
"Palo Pinto County, Texas",28317
"Panola County, Texas",23440
"Parker County, Texas",129802
"Parmer County, Texas",9852
"Pecos County, Texas",15797
"Polk County, Texas",47837
"Potter County, Texas",120899
"Presidio County, Texas",7123
"Rains County, Texas",11473
"Randall County, Texas",132475
