County/State,Population
"Warren County, Indiana",8247
"Warrick County, Indiana",61928
"Washington County, Indiana",27827
"Wayne County, Indiana",66613
"Wells County, Indiana",27947
"White County, Indiana",24217
"Whitley County, Indiana",33649
"Adair County, Iowa",7124
"Adams County, Iowa",3726
"Allamakee County, Iowa",13880
"Appanoose County, Iowa",12510
"Audubon County, Iowa",5637
"Benton County, Iowa",25626
"Black Hawk County, Iowa",133009
"Boone County, Iowa",26399
"Bremer County, Iowa",24782
"Buchanan County, Iowa",21125
"Buena Vista County, Iowa",20260
"Butler County, Iowa",14735
"Calhoun County, Iowa",9780
"Carroll County, Iowa",20344
"Cass County, Iowa",13191
"Cedar County, Iowa",18445
"Cerro Gordo County, Iowa",42984
"Cherokee County, Iowa",11468
"Chickasaw County, Iowa",12099
"Clarke County, Iowa",9282
"Clay County, Iowa",16313
"Clayton County, Iowa",17672
"Clinton County, Iowa",47218
"Crawford County, Iowa",17132
"Dallas County, Iowa",84002
"Davis County, Iowa",8885
"Decatur County, Iowa",8044
"Delaware County, Iowa",17258
"Des Moines County, Iowa",39600
"Dickinson County, Iowa",17056
"Dubuque County, Iowa",96802
"Emmet County, Iowa",9551
"Fayette County, Iowa",19929
"Floyd County, Iowa",15858
"Franklin County, Iowa",10245
"Fremont County, Iowa",6968
"Greene County, Iowa",9003
"Grundy County, Iowa",12341
"Guthrie County, Iowa",10674
"Hamilton County, Iowa",15110
"Hancock County, Iowa",10888
"Hardin County, Iowa",17127
"Harrison County, Iowa",14143
"Henry County, Iowa",19926
"Howard County, Iowa",9264
"Humboldt County, Iowa",9566
"Ida County, Iowa",6916
"Iowa County, Iowa",16207
"Jackson County, Iowa",19395
"Jasper County, Iowa",36891
"Jefferson County, Iowa",18077
"Johnson County, Iowa",147001
"Jones County, Iowa",20568
"Keokuk County, Iowa",10200
"Kossuth County, Iowa",15075
"Lee County, Iowa",34541
"Linn County, Iowa",222121
"Louisa County, Iowa",11223
"Lucas County, Iowa",8597
"Lyon County, Iowa",11769
"Madison County, Iowa",15890
"Mahaska County, Iowa",22208
"Marion County, Iowa",33207
"Marshall County, Iowa",40271
"Mills County, Iowa",14957
"Mitchell County, Iowa",10631
"Monona County, Iowa",8796
"Monroe County, Iowa",7863
"Montgomery County, Iowa",10155
"Muscatine County, Iowa",42950
"O'Brien County, Iowa",13911
"Osceola County, Iowa",6115
"Page County, Iowa",15363
"Palo Alto County, Iowa",9055
"Plymouth County, Iowa",25039
"Pocahontas County, Iowa",6898
"Polk County, Iowa",474274
"Pottawattamie County, Iowa",93503
"Poweshiek County, Iowa",18605
"Ringgold County, Iowa",4984
"Sac County, Iowa",9868
"Scott County, Iowa",172288
"Shelby County, Iowa",11694
"Sioux County, Iowa",34825
"Story County, Iowa",96922
"Tama County, Iowa",17136
"Taylor County, Iowa",6201
"Union County, Iowa",12453
"Van Buren County, Iowa",7223
"Wapello County, Iowa",35315
"Warren County, Iowa",49361
"Washington County, Iowa",22143
"Wayne County, Iowa",6413
"Webster County, Iowa",36757
"Winnebago County, Iowa",10571
"Winneshiek County, Iowa",20401
"Woodbury County, Iowa",102398
"Worth County, Iowa",7489
"Wright County, Iowa",12804
"Allen County, Kansas",12630
"Anderson County, Kansas",7852
"Atchison County, Kansas",16363
"Barber County, Kansas",4733
"Barton County, Kansas",26791
"Bourbon County, Kansas",14702
"Brown County, Kansas",9664
"Butler County, Kansas",66468
"Chase County, Kansas",2645
"Chautauqua County, Kansas",3367
"Cherokee County, Kansas",20331
"Cheyenne County, Kansas",2677
"Clark County, Kansas",2053
"Clay County, Kansas",8142
"Cloud County, Kansas",9060
"Coffey County, Kansas",8296
"Comanche County, Kansas",1780
"Cowley County, Kansas",35591
"Crawford County, Kansas",39108
"Decatur County, Kansas",2881
"Dickinson County, Kansas",19004
"Doniphan County, Kansas",7736
"Douglas County, Kansas",119319
"Edwards County, Kansas",2925
"Elk County, Kansas",2562
"Ellis County, Kansas",28878
"Ellsworth County, Kansas",6293
"Finney County, Kansas",36957
"Ford County, Kansas",34484
"Franklin County, Kansas",25563
"Geary County, Kansas",34895
"Gove County, Kansas",2619
"Graham County, Kansas",2545
"Grant County, Kansas",7616
"Gray County, Kansas",6037
"Greeley County, Kansas",1200
"Greenwood County, Kansas",6156
"Hamilton County, Kansas",2616
"Harper County, Kansas",5673
"Harvey County, Kansas",34555
